"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.02107 0.0096 0.0078
0.02117 0.0084 0.0078
0.02127 0.0096 0.0072
0.02137 0.0078 0.0078
0.02147 0.0096 0.0066
0.02157 0.0084 0.0078
0.02167 0.0078 0.0078
0.02177 0.0096 0.0078
0.02187 0.0078 0.0066
0.02196 0.0096 0.0084
0.02206 0.0084 0.0078
0.02216 0.0078 0.0066
0.02226 0.0090 0.0078
0.02236 0.0084 0.0090
0.02246 0.0084 0.0066
0.02256 0.0078 0.0084
0.02266 0.0090 0.0066
0.02276 0.0084 0.0090
0.02286 0.0084 0.0078
0.02296 0.0078 0.0072
0.02306 0.0090 0.0072
0.02316 0.0090 0.0084
0.02326 0.0078 0.0078
0.02336 0.0090 0.0078
0.02346 0.0078 0.0072
0.02356 0.0090 0.0078
0.02366 0.0084 0.0078
0.02376 0.0084 0.0066
0.02386 0.0084 0.0066
0.02396 0.0090 0.0078
0.02406 0.0090 0.0078
0.02416 0.0084 0.0078
0.02426 0.0090 0.0078
0.02436 0.0107 0.0072
0.02446 0.0096 0.0078
0.02456 0.0096 0.0078
0.02466 0.0096 0.0078
0.02476 0.0096 0.0078
0.02486 0.0096 0.0072
0.02496 0.0084 0.0078
0.02506 0.0107 0.0078
0.02516 0.0096 0.0078
0.02526 0.0096 0.0078
0.02536 0.0096 0.0072
0.02546 0.0096 0.0078
0.02556 0.0096 0.0078
0.02566 0.0096 0.0078
0.02576 0.0096 0.0078
0.02586 0.0096 0.0066
0.02596 0.0101 0.0078
0.02606 0.0090 0.0072
0.02616 0.0101 0.0078
0.02626 0.0113 0.0090
0.02636 0.0101 0.0072
0.02646 0.0113 0.0078
0.02656 0.0113 0.0078
0.02666 0.0101 0.0078
0.02676 0.0113 0.0078
0.02686 0.0113 0.0072
0.02696 0.0107 0.0078
0.02706 0.0113 0.0078
0.02716 0.0113 0.0078
0.02726 0.0107 0.0078
0.02736 0.0113 0.0072
0.02746 0.0113 0.0090
0.02756 0.0107 0.0084
0.02766 0.0113 0.0078
0.02776 0.0113 0.0078
0.02786 0.0107 0.0078
0.02796 0.0113 0.0072
0.02806 0.0107 0.0078
0.02815 0.0107 0.0078
0.02825 0.0107 0.0078
0.02835 0.0107 0.0078
0.02845 0.0113 0.0072
0.02855 0.0113 0.0078
0.02865 0.0107 0.0090
0.02875 0.0113 0.0084
0.02885 0.0113 0.0078
0.02895 0.0107 0.0078
0.02905 0.0113 0.0072
0.02915 0.0113 0.0078
0.02925 0.0113 0.0078
0.02935 0.0107 0.0078
0.02945 0.0113 0.0078
0.02955 0.0113 0.0072
0.02965 0.0101 0.0078
0.02975 0.0119 0.0090
0.02985 0.0125 0.0084
