"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00654 350879 0.0 0.9999 1.0000 0.8999 0.9999 1.0000 1.0000 0.8999
0.00664 350844 0.0 0.9999 1.0000 0.8983 0.9999 1.0000 1.0000 0.8983
0.00674 350809 0.0 0.9999 1.0000 0.8968 0.9999 1.0000 1.0000 0.8968
0.00684 350774 0.0 0.9999 1.0000 0.8953 0.9999 1.0000 1.0000 0.8953
0.00694 350739 0.0 0.9999 1.0000 0.8937 0.9999 1.0000 1.0000 0.8937
0.00704 350704 0.0 0.9999 1.0000 0.8922 0.9999 1.0000 1.0000 0.8922
0.00713 350669 0.0 0.9999 1.0000 0.8907 0.9999 1.0000 1.0000 0.8907
0.00723 350634 0.0 0.9999 1.0000 0.8892 0.9999 1.0000 1.0000 0.8892
0.00733 350599 0.0 0.9999 1.0000 0.8876 0.9999 1.0000 1.0000 0.8876
0.00743 350564 0.0 0.9999 1.0000 0.8861 0.9999 0.9999 1.0000 0.8861
0.00753 350529 0.0 0.9999 1.0000 0.8846 0.9999 0.9999 1.0000 0.8846
0.00763 350494 0.0 0.9999 1.0000 0.8830 0.9999 0.9999 1.0000 0.8830
0.00773 350459 0.0 0.9998 1.0000 0.8815 0.9998 0.9999 1.0000 0.8815
0.00783 350424 0.0 0.9998 1.0000 0.8800 0.9998 0.9999 1.0000 0.8800
0.00793 350389 0.0 0.9998 1.0000 0.8785 0.9998 0.9999 1.0000 0.8785
0.00803 350354 0.0 0.9998 1.0000 0.8769 0.9998 0.9999 1.0000 0.8769
0.00813 350319 0.0 0.9998 1.0000 0.8754 0.9998 0.9999 1.0000 0.8754
0.00823 350284 0.0 0.9998 1.0000 0.8739 0.9998 0.9999 1.0000 0.8739
0.00832 350249 0.0 0.9998 1.0000 0.8725 0.9998 0.9999 1.0000 0.8725
0.00842 350214 0.0 0.9998 1.0000 0.8718 0.9998 0.9999 1.0000 0.8718
0.00852 350179 0.0 0.9998 1.0000 0.8710 0.9998 0.9999 1.0000 0.8710
0.00862 350144 0.0 0.9998 1.0000 0.8703 0.9998 0.9999 1.0000 0.8703
0.00872 350109 0.0 0.9998 1.0000 0.8695 0.9998 0.9999 1.0000 0.8695
0.00882 350074 0.0 0.9998 1.0000 0.8688 0.9998 0.9999 1.0000 0.8688
0.00892 350039 0.0 0.9998 1.0000 0.8680 0.9998 0.9999 1.0000 0.8680
0.00902 350004 0.0 0.9998 1.0000 0.8673 0.9998 0.9999 1.0000 0.8673
0.00912 349969 0.0 0.9998 1.0000 0.8665 0.9998 0.9999 1.0000 0.8665
0.00922 349934 0.0 0.9998 1.0000 0.8658 0.9998 0.9999 1.0000 0.8658
0.00932 349899 0.0 0.9998 1.0000 0.8650 0.9998 0.9999 1.0000 0.8650
0.00941 349864 0.0 0.9998 1.0000 0.8643 0.9998 0.9999 1.0000 0.8643
0.00951 349829 0.0 0.9998 1.0000 0.8635 0.9998 0.9999 1.0000 0.8635
