"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.06649 0.0439 0.0078
0.06659 0.0445 0.0078
0.06669 0.0457 0.0072
0.06679 0.0439 0.0078
0.06689 0.0439 0.0078
0.06699 0.0439 0.0078
0.06709 0.0451 0.0078
0.06719 0.0415 0.0072
0.06729 0.0439 0.0078
0.06739 0.0445 0.0078
0.06749 0.0451 0.0078
0.06758 0.0445 0.0084
0.06768 0.0439 0.0078
0.06778 0.0445 0.0078
0.06788 0.0451 0.0078
0.06798 0.0439 0.0072
0.06808 0.0439 0.0078
0.06818 0.0451 0.0078
0.06828 0.0451 0.0078
0.06838 0.0439 0.0078
0.06848 0.0439 0.0084
0.06858 0.0451 0.0078
0.06867 0.0445 0.0078
0.06877 0.0439 0.0072
0.06887 0.0445 0.0078
0.06897 0.0445 0.0078
0.06907 0.0451 0.0078
0.06917 0.0409 0.0078
0.06927 0.0439 0.0072
0.06937 0.0457 0.0078
0.06947 0.0439 0.0078
0.06957 0.0439 0.0078
0.06967 0.0439 0.0078
0.06976 0.0457 0.0072
0.06986 0.0445 0.0078
0.06996 0.0439 0.0078
0.07006 0.0445 0.0078
0.07016 0.0451 0.0078
0.07026 0.0439 0.0072
0.07036 0.0439 0.0078
0.07046 0.0445 0.0078
0.07056 0.0451 0.0078
0.07066 0.0445 0.0078
0.07076 0.0439 0.0084
0.07085 0.0445 0.0078
0.07095 0.0451 0.0078
0.07105 0.0439 0.0072
0.07115 0.0445 0.0078
0.07125 0.0415 0.0078
0.07135 0.0445 0.0078
0.07145 0.0379 0.0066
0.07155 0.0204 0.0078
0.07165 0.0192 0.0066
0.07175 0.0204 0.0066
0.07185 0.0186 0.0066
0.07194 0.0204 0.0072
0.07204 0.0186 0.0066
0.07214 0.0205 0.0066
0.07224 0.0192 0.0066
0.07234 0.0205 0.0066
0.07244 0.0186 0.0072
0.07254 0.0204 0.0066
0.07264 0.0186 0.0078
0.07274 0.0204 0.0054
0.07284 0.0192 0.0078
0.07294 0.0204 0.0060
0.07303 0.0186 0.0072
0.07313 0.0204 0.0060
0.07323 0.0192 0.0078
0.07333 0.0205 0.0066
0.07343 0.0186 0.0066
0.07353 0.0205 0.0066
0.07363 0.0186 0.0072
0.07373 0.0204 0.0066
0.07383 0.0198 0.0066
0.07393 0.0198 0.0066
0.07403 0.0198 0.0066
0.07412 0.0192 0.0072
0.07422 0.0198 0.0066
0.07432 0.0198 0.0078
0.07442 0.0204 0.0054
0.07452 0.0186 0.0078
0.07462 0.0204 0.0060
0.07472 0.0186 0.0072
0.07482 0.0204 0.0060
0.07492 0.0192 0.0078
0.07502 0.0205 0.0054
0.07512 0.0343 0.0078
0.07521 0.0650 0.0096
0.07531 0.0656 0.0096
0.07541 0.0650 0.0096
0.07551 0.0595 0.0096
0.07561 0.0662 0.0090
0.07571 0.0644 0.0096
0.07581 0.0644 0.0096
0.07591 0.0662 0.0084
0.07601 0.0644 0.0096
0.07611 0.0662 0.0096
0.07621 0.0650 0.0096
0.07630 0.0595 0.0084
0.07640 0.0650 0.0096
0.07650 0.0656 0.0090
0.07660 0.0644 0.0096
0.07670 0.0662 0.0096
0.07680 0.0644 0.0096
0.07690 0.0656 0.0096
0.07700 0.0607 0.0096
0.07710 0.0644 0.0084
0.07720 0.0650 0.0096
0.07730 0.0656 0.0090
0.07739 0.0644 0.0096
0.07749 0.0662 0.0096
0.07759 0.0644 0.0096
0.07769 0.0601 0.0096
0.07779 0.0662 0.0084
0.07789 0.0644 0.0096
0.07799 0.0644 0.0096
0.07809 0.0662 0.0084
0.07819 0.0644 0.0096
