condition group weight wgrp filename
1 4 0.191 4 ../dd_rasters/Mammalia_Dasypus pilosus.tif
1 4 0.077 4 ../dd_rasters/Mammalia_Dendrogale melanura.tif
1 4 0.139 4 ../dd_rasters/Mammalia_Dendromus vernayi.tif
1 4 0.819 4 ../dd_rasters/Mammalia_Dendroprionomys rousseloti.tif
1 2 0.011 2 ../dd_rasters/Reptilia_Denisonia maculata.tif
1 4 0.018 4 ../dd_rasters/Mammalia_Diclidurus ingens.tif
1 4 0.002 4 ../dd_rasters/Mammalia_Dicrostonyx vinogradovi.tif
1 4 0.227 4 ../dd_rasters/Mammalia_Diomys crumpi.tif
1 4 0.637 4 ../dd_rasters/Mammalia_Diplomys caniceps.tif
1 4 0.237 4 ../dd_rasters/Mammalia_Dryomys laniger.tif
1 4 0.111 4 ../dd_rasters/Mammalia_Chaetocauda sichuanensis.tif
1 4 0.225 4 ../dd_rasters/Mammalia_Phyllomys lamarum.tif
1 4 0.027 4 ../dd_rasters/Mammalia_Echimys saturnus.tif
1 4 0.045 4 ../dd_rasters/Mammalia_Echymipera echinista.tif
1 4 0.16 4 ../dd_rasters/Mammalia_Elephantulus revoilii.tif
1 4 0.155 4 ../dd_rasters/Mammalia_Ellobius alaicus.tif
1 4 0.294 4 ../dd_rasters/Mammalia_Eothenomys proditor.tif
1 4 0.194 4 ../dd_rasters/Mammalia_Epomophorus grandis.tif
1 4 0.058 4 ../dd_rasters/Mammalia_Eptesicus bobrinskoi.tif
1 4 0.337 4 ../dd_rasters/Mammalia_Eptesicus dimissus.tif
1 4 0.722 4 ../dd_rasters/Mammalia_Eptesicus kobayashii.tif
1 4 0.569 4 ../dd_rasters/Mammalia_Eptesicus platyops.tif
1 4 0.474 4 ../dd_rasters/Mammalia_Eptesicus tatei.tif
1 4 0.035 4 ../dd_rasters/Mammalia_Eumops maurus.tif
1 4 0.078 4 ../dd_rasters/Mammalia_Euneomys chinchilloides.tif
1 4 0.227 4 ../dd_rasters/Mammalia_Euroscaptor parvidens.tif
1 4 0.125 4 ../dd_rasters/Mammalia_Exilisciurus exilis.tif
1 4 0.125 4 ../dd_rasters/Mammalia_Funisciurus bayonii.tif
1 4 0.267 4 ../dd_rasters/Mammalia_Funisciurus substriatus.tif
1 2 0.033 2 ../dd_rasters/Reptilia_Furina dunmalli.tif
1 4 0.165 4 ../dd_rasters/Mammalia_Galenomys garleppi.tif
1 4 0.296 4 ../dd_rasters/Mammalia_Genetta abyssinica.tif
1 4 0.208 4 ../dd_rasters/Mammalia_Gerbillus acticola.tif
1 4 0.139 4 ../dd_rasters/Mammalia_Gerbillus muriculus.tif
1 4 0.142 4 ../dd_rasters/Mammalia_Gerbillus nancillus.tif
1 4 0.707 4 ../dd_rasters/Mammalia_Gerbillus bottai.tif
1 4 0.213 4 ../dd_rasters/Mammalia_Gerbillus brockmani.tif
1 4 0.155 4 ../dd_rasters/Mammalia_Gerbillus cosensis.tif
1 4 0.207 4 ../dd_rasters/Mammalia_Gerbillus grobbeni.tif
1 4 0.391 4 ../dd_rasters/Mammalia_Gerbillus jamesi.tif
1 4 0.114 4 ../dd_rasters/Mammalia_Gerbillus latastei.tif
1 4 0.219 4 ../dd_rasters/Mammalia_Gerbillus lowei.tif
1 4 0.028 4 ../dd_rasters/Mammalia_Gerbillus occiduus.tif
1 4 0.037 4 ../dd_rasters/Mammalia_Gerbillus principulus.tif
1 4 0.203 4 ../dd_rasters/Mammalia_Gerbillus somalicus.tif
1 4 0.516 4 ../dd_rasters/Mammalia_Gerbillus stigmonyx.tif
1 4 0.546 4 ../dd_rasters/Mammalia_Glischropus javanus.tif
1 4 0.153 4 ../dd_rasters/Mammalia_Glyphotes simus.tif
1 4 0.093 4 ../dd_rasters/Mammalia_Gracilinanus emiliae.tif
1 4 0.256 4 ../dd_rasters/Mammalia_Grammomys aridulus.tif
1 4 0.232 4 ../dd_rasters/Mammalia_Grammomys buntingi.tif
1 4 0.254 4 ../dd_rasters/Mammalia_Grammomys caniceps.tif
1 4 0.125 4 ../dd_rasters/Mammalia_Graomys edithae.tif
1 4 0.324 4 ../dd_rasters/Mammalia_Graphiurus crassicaudatus.tif
1 4 0.119 4 ../dd_rasters/Mammalia_Graphiurus monardi.tif
1 4 0.126 4 ../dd_rasters/Mammalia_Graphiurus surdus.tif
1 4 0.17 4 ../dd_rasters/Mammalia_Haeromys margarettae.tif
1 4 0.301 4 ../dd_rasters/Mammalia_Heliosciurus punctatus.tif
1 4 0.216 4 ../dd_rasters/Mammalia_Heliosciurus undulatus.tif
1 4 0.181 4 ../dd_rasters/Mammalia_Hesperoptenus doriae.tif
1 4 0.124 4 ../dd_rasters/Mammalia_Hesperoptenus gaskelli.tif
1 4 0.134 4 ../dd_rasters/Mammalia_Hipposideros breviceps.tif
1 4 0.734 4 ../dd_rasters/Mammalia_Doryrhina camerunensis.tif
1 4 0.213 4 ../dd_rasters/Mammalia_Hipposideros coronatus.tif
1 4 0.443 4 ../dd_rasters/Mammalia_Hipposideros crumeniferus.tif
1 4 0.187 4 ../dd_rasters/Mammalia_Hipposideros inexpectatus.tif
1 4 0.226 4 ../dd_rasters/Mammalia_Hipposideros macrobullatus.tif
1 4 0.902 4 ../dd_rasters/Mammalia_Hipposideros nequam.tif
1 4 0.349 4 ../dd_rasters/Mammalia_Histiotus alienus.tif
1 4 0.176 4 ../dd_rasters/Mammalia_Histiotus velatus.tif
1 4 0.151 4 ../dd_rasters/Mammalia_Baiyankamys habbema.tif
1 4 0.189 4 ../dd_rasters/Mammalia_Hydromys hussoni.tif
1 4 0.082 4 ../dd_rasters/Mammalia_Hydromys neobritannicus.tif
1 1 0.127 1 ../dd_rasters/Amphibia_Bokermannohyla langei.tif
1 4 0.275 4 ../dd_rasters/Mammalia_Hylopetes bartelsi.tif
1 4 0.388 4 ../dd_rasters/Mammalia_Hylopetes winstoni.tif
1 4 0.144 4 ../dd_rasters/Mammalia_Hyomys dammermani.tif
1 4 0.208 4 ../dd_rasters/Mammalia_Ichthyomys stolzmanni.tif
1 4 0.306 4 ../dd_rasters/Mammalia_Ichthyomys tweedii.tif
1 2 0.23 2 ../dd_rasters/Reptilia_Iguanognathus werneri.tif
1 4 0.12 4 ../dd_rasters/Mammalia_Kerivoula cuprosa.tif
1 4 0.294 4 ../dd_rasters/Mammalia_Kerivoula eriophora.tif
1 4 0.123 4 ../dd_rasters/Mammalia_Laephotis angolensis.tif
1 4 0.05 4 ../dd_rasters/Mammalia_Lagidium wolffsohni.tif
1 4 0.232 4 ../dd_rasters/Mammalia_Lariscus niobe.tif
1 4 0.108 4 ../dd_rasters/Mammalia_Lasiurus castaneus.tif
1 4 0.017 4 ../dd_rasters/Mammalia_Lasiurus ebenus.tif
1 4 0.169 4 ../dd_rasters/Mammalia_Lasiurus egregius.tif
1 4 0.187 4 ../dd_rasters/Mammalia_Leimacomys buettneri.tif
1 4 0.274 4 ../dd_rasters/Mammalia_Lemniscomys hoogstraali.tif
1 4 0.287 4 ../dd_rasters/Mammalia_Lemniscomys roseveari.tif
1 2 0.189 2 ../dd_rasters/Reptilia_Liolaemus kuhlmanni.tif
1 1 0.141 1 ../dd_rasters/Amphibia_Litoria piperata.tif
1 4 0.225 4 ../dd_rasters/Mammalia_Lophuromys cinereus.tif
1 4 0.121 4 ../dd_rasters/Mammalia_Macruromys elegans.tif
1 4 0.158 4 ../dd_rasters/Mammalia_Madoqua piacentinii.tif
1 4 0.2 4 ../dd_rasters/Mammalia_Margaretamys parvus.tif
1 4 0.042 4 ../dd_rasters/Mammalia_Marmosa andersoni.tif
1 4 0.026 4 ../dd_rasters/Mammalia_Marmosa tyleriana.tif
1 4 0.396 4 ../dd_rasters/Mammalia_Marmosops cracens.tif
1 4 0.351 4 ../dd_rasters/Mammalia_Marmosops fuscatus.tif
1 4 0.229 4 ../dd_rasters/Mammalia_Mastomys pernanus.tif
1 4 0.13 4 ../dd_rasters/Mammalia_Maxomys baeodon.tif
1 4 0.184 4 ../dd_rasters/Mammalia_Maxomys hylomyoides.tif
1 4 0.097 4 ../dd_rasters/Mammalia_Maxomys ochraceiventer.tif
1 4 0.133 4 ../dd_rasters/Mammalia_Melomys bougainville.tif
1 4 0.237 4 ../dd_rasters/Mammalia_Meriones zarudnyi.tif
1 4 0.174 4 ../dd_rasters/Mammalia_Mesomys leniceps.tif
1 4 0.212 4 ../dd_rasters/Mammalia_Microdillus peeli.tif
1 4 0.11 4 ../dd_rasters/Mammalia_Glyphonycteris behnii.tif
1 4 0.017 4 ../dd_rasters/Mammalia_Neonycteris pusilla.tif
1 4 0.165 4 ../dd_rasters/Mammalia_Epomophorus intermedius.tif
1 4 0.277 4 ../dd_rasters/Mammalia_Microsciurus santanderensis.tif
1 4 0.031 4 ../dd_rasters/Mammalia_Alexandromys evoronensis.tif
1 4 0.181 4 ../dd_rasters/Mammalia_Microtus kermanensis.tif
1 4 0.027 4 ../dd_rasters/Mammalia_Alexandromys mujanensis.tif
1 4 0.387 4 ../dd_rasters/Mammalia_Microtus nasarovi.tif
1 4 0.179 4 ../dd_rasters/Mammalia_Miniopterus minor.tif
1 4 0.086 4 ../dd_rasters/Mammalia_Cynomops abrasus.tif
1 4 0.055 4 ../dd_rasters/Mammalia_Molossops neglectus.tif
1 4 0.217 4 ../dd_rasters/Mammalia_Monodelphis iheringi.tif
1 4 0.078 4 ../dd_rasters/Mammalia_Mops niangarae.tif
1 4 0.22 4 ../dd_rasters/Mammalia_Mops sarasinorum.tif
1 4 0.462 4 ../dd_rasters/Mammalia_Mops trevori.tif
1 4 0.655 4 ../dd_rasters/Mammalia_Mormopterus doriae.tif
1 4 0.103 4 ../dd_rasters/Mammalia_Muntiacus gongshanensis.tif
1 4 0.173 4 ../dd_rasters/Mammalia_Muntiacus feae.tif
1 4 0.244 4 ../dd_rasters/Mammalia_Muntiacus rooseveltorum.tif
1 4 0.279 4 ../dd_rasters/Mammalia_Murina aurata.tif
1 4 0.339 4 ../dd_rasters/Mammalia_Murina fusca.tif
1 4 0.597 4 ../dd_rasters/Mammalia_Harpiola grisea.tif
1 4 0.121 4 ../dd_rasters/Mammalia_Mus callewaerti.tif
1 4 0.184 4 ../dd_rasters/Mammalia_Mus crociduroides.tif
1 4 0.038 4 ../dd_rasters/Mammalia_Mus goundae.tif
1 4 0.166 4 ../dd_rasters/Mammalia_Mus neavei.tif
1 4 0.175 4 ../dd_rasters/Mammalia_Mus oubanguii.tif
1 4 0.213 4 ../dd_rasters/Mammalia_Myomimus personatus.tif
1 4 0.463 4 ../dd_rasters/Mammalia_Myomimus setzeri.tif
1 4 0.344 4 ../dd_rasters/Mammalia_Myomyscus yemeni.tif
1 4 0.213 4 ../dd_rasters/Mammalia_Myopterus daubentonii.tif
1 4 0.165 4 ../dd_rasters/Mammalia_Myosorex schalleri.tif
1 4 0.162 4 ../dd_rasters/Mammalia_Myotis aelleni.tif
1 4 0.103 4 ../dd_rasters/Mammalia_Myotis australis.tif
1 4 0.23 4 ../dd_rasters/Mammalia_Myotis cobanensis.tif
1 4 0.072 4 ../dd_rasters/Mammalia_Myotis hermani.tif
1 4 0.207 4 ../dd_rasters/Mammalia_Myotis insularum.tif
1 4 0.334 4 ../dd_rasters/Mammalia_Myotis longipes.tif
1 4 0.347 4 ../dd_rasters/Mammalia_Myotis morrisi.tif
1 4 0.812 4 ../dd_rasters/Mammalia_Myotis oreias.tif
1 4 0.359 4 ../dd_rasters/Mammalia_Myotis schaubi.tif
1 4 0.038 4 ../dd_rasters/Mammalia_Myotis simus.tif
1 4 0.028 4 ../dd_rasters/Mammalia_Neacomys pictus.tif
1 4 0.23 4 ../dd_rasters/Mammalia_Nesolagus netscheri.tif
1 4 0.018 4 ../dd_rasters/Mammalia_Neusticomys oyapocki.tif
1 4 0.115 4 ../dd_rasters/Mammalia_Nycteris major.tif
1 4 0.129 4 ../dd_rasters/Mammalia_Nyctimene cyclotis.tif
1 4 0.065 4 ../dd_rasters/Mammalia_Nyctimene draconilla.tif
1 4 0.119 4 ../dd_rasters/Mammalia_Nyctimene masalai.tif
1 4 0.097 4 ../dd_rasters/Mammalia_Nyctimene sanctacrucis.tif
1 4 0.257 4 ../dd_rasters/Mammalia_Nyctophilus heran.tif
1 4 0.233 4 ../dd_rasters/Mammalia_Oecomys cleberi.tif
1 4 0.085 4 ../dd_rasters/Mammalia_Oecomys paricola.tif
1 4 0.448 4 ../dd_rasters/Mammalia_Oenomys ornatus.tif
1 4 0.421 4 ../dd_rasters/Mammalia_Olallamys albicauda.tif
1 4 0.267 4 ../dd_rasters/Mammalia_Olallamys edax.tif
1 2 0.409 2 ../dd_rasters/Reptilia_Oligodon nikhili.tif
1 2 0.345 2 ../dd_rasters/Reptilia_Opisthotropis spenceri.tif
1 4 0.717 4 ../dd_rasters/Mammalia_Orthogeomys cuniculus.tif
1 4 0.213 4 ../dd_rasters/Mammalia_Oreoryzomys balneator.tif
1 4 0.139 4 ../dd_rasters/Mammalia_Oryzomys dimidiatus.tif
1 4 0.246 4 ../dd_rasters/Mammalia_Eremoryzomys polius.tif
1 4 0.51 4 ../dd_rasters/Mammalia_Otomops formosus.tif
1 4 0.297 4 ../dd_rasters/Mammalia_Otomops wroughtoni.tif
1 4 0.263 4 ../dd_rasters/Mammalia_Otomops johnstonei.tif
1 4 0.038 4 ../dd_rasters/Mammalia_Otomops papuensis.tif
1 4 0.53 4 ../dd_rasters/Mammalia_Otomops secundus.tif
1 4 0.168 4 ../dd_rasters/Mammalia_Paracrocidura graueri.tif
1 4 0.165 4 ../dd_rasters/Mammalia_Paraleptomys wilhelmina.tif
1 4 0.229 4 ../dd_rasters/Mammalia_Paraxerus cooperi.tif
1 4 0.29 4 ../dd_rasters/Mammalia_Paraxerus lucifer.tif
1 1 0.5 1 ../dd_rasters/Amphibia_Bufoides kempi.tif
1 4 0.5 4 ../dd_rasters/Mammalia_Pelomys hopkinsi.tif
1 4 0.679 4 ../dd_rasters/Mammalia_Peromyscus furvus.tif
1 4 0.108 4 ../dd_rasters/Mammalia_Petaurillus emiliae.tif
1 4 0.15 4 ../dd_rasters/Mammalia_Petaurillus hosei.tif
1 4 0.513 4 ../dd_rasters/Mammalia_Petaurillus kinlochii.tif
1 4 0.413 4 ../dd_rasters/Mammalia_Petinomys hageni.tif
1 4 0.041 4 ../dd_rasters/Mammalia_Phyllotis osgoodi.tif
1 4 0.249 4 ../dd_rasters/Mammalia_Pipistrellus aero.tif
1 4 0.151 4 ../dd_rasters/Mammalia_Hypsugo anthonyi.tif
1 4 0.25 4 ../dd_rasters/Mammalia_Hypsugo arabicus.tif
1 4 0.268 4 ../dd_rasters/Mammalia_Pipistrellus inexspectatus.tif
1 4 0.128 4 ../dd_rasters/Mammalia_Hypsugo joffrei.tif
1 4 0.116 4 ../dd_rasters/Mammalia_Hypsugo kitcheneri.tif
1 4 0.205 4 ../dd_rasters/Mammalia_Hypsugo lophurus.tif
1 4 0.396 4 ../dd_rasters/Mammalia_Hypsugo macrotis.tif
1 4 0.511 4 ../dd_rasters/Mammalia_Pipistrellus minahassae.tif
1 4 0.576 4 ../dd_rasters/Mammalia_Falsistrellus mordax.tif
1 4 0.698 4 ../dd_rasters/Mammalia_Pipistrellus permixtus.tif
1 4 0.213 4 ../dd_rasters/Mammalia_Falsistrellus petersi.tif
1 4 0.225 4 ../dd_rasters/Mammalia_Pithecheir parvus.tif
1 4 0.059 4 ../dd_rasters/Mammalia_Pogonomys championi.tif
1 4 0.111 4 ../dd_rasters/Mammalia_Prionomys batesi.tif
1 4 0.295 4 ../dd_rasters/Mammalia_Proechimys chrysaeolus.tif
1 4 0.013 4 ../dd_rasters/Mammalia_Proechimys hoplomyoides.tif
1 4 0.4 4 ../dd_rasters/Mammalia_Proechimys mincae.tif
1 4 0.162 4 ../dd_rasters/Mammalia_Proechimys oconnelli.tif
1 4 0.34 4 ../dd_rasters/Mammalia_Proechimys trinitatis.tif
1 4 0.148 4 ../dd_rasters/Mammalia_Psammomys vexillaris.tif
1 4 0.103 4 ../dd_rasters/Mammalia_Pseudomys pilligaensis.tif
1 4 0.331 4 ../dd_rasters/Mammalia_Pteropus lombocensis.tif
1 4 0.261 4 ../dd_rasters/Mammalia_Pteropus speciosus.tif
1 4 0.567 4 ../dd_rasters/Mammalia_Pteropus loochoensis.tif
1 4 0.234 4 ../dd_rasters/Mammalia_Pudu mephistophiles.tif
1 1 0.242 1 ../dd_rasters/Amphibia_Pulchrana melanomenta.tif
1 4 0.175 4 ../dd_rasters/Mammalia_Rattus tawitawiensis.tif
1 4 0.207 4 ../dd_rasters/Mammalia_Rattus adustus.tif
