condition group weight wgrp filename
1 1 0.205 1 ../lost_rasters/Amphibia_Atelopus famelicus.tif
1 1 0.493 1 ../lost_rasters/Amphibia_Atelopus farci.tif
1 1 0.111 1 ../lost_rasters/Amphibia_Atelopus galactogaster.tif
1 1 0.29 1 ../lost_rasters/Amphibia_Atelopus guanujo.tif
1 1 0.227 1 ../lost_rasters/Amphibia_Atelopus guitarraensis.tif
1 1 0.186 1 ../lost_rasters/Amphibia_Atelopus halihelos.tif
1 1 0.204 1 ../lost_rasters/Amphibia_Atelopus longibrachius.tif
1 1 0.216 1 ../lost_rasters/Amphibia_Atelopus lynchi.tif
1 1 0.114 1 ../lost_rasters/Amphibia_Atelopus mandingues.tif
1 1 0.379 1 ../lost_rasters/Amphibia_Atelopus minutulus.tif
1 1 0.263 1 ../lost_rasters/Amphibia_Atelopus monohernandezii.tif
1 1 0.274 1 ../lost_rasters/Amphibia_Atelopus mucubajiensis.tif
1 1 0.141 1 ../lost_rasters/Amphibia_Atelopus muisca.tif
1 1 0.237 1 ../lost_rasters/Amphibia_Atelopus nicefori.tif
1 1 0.411 1 ../lost_rasters/Amphibia_Atelopus oxyrhynchus.tif
1 1 0.169 1 ../lost_rasters/Amphibia_Atelopus pachydermus.tif
1 1 0.616 1 ../lost_rasters/Amphibia_Atelopus palmatus.tif
1 1 0.097 1 ../lost_rasters/Amphibia_Atelopus pedimarmoratus.tif
1 1 0.26 1 ../lost_rasters/Amphibia_Atelopus peruensis.tif
1 1 0.074 1 ../lost_rasters/Amphibia_Atelopus petriruizi.tif
1 1 0.476 1 ../lost_rasters/Amphibia_Atelopus pictiventris.tif
1 1 0.154 1 ../lost_rasters/Amphibia_Atelopus pinangoi.tif
1 1 0.086 1 ../lost_rasters/Amphibia_Atelopus planispina.tif
1 1 0.569 1 ../lost_rasters/Amphibia_Atelopus quimbaya.tif
1 1 0.099 1 ../lost_rasters/Amphibia_Atelopus reticulatus.tif
1 1 0.231 1 ../lost_rasters/Amphibia_Atelopus sanjosei.tif
1 1 0.425 1 ../lost_rasters/Amphibia_Atelopus sernai.tif
1 1 0.331 1 ../lost_rasters/Amphibia_Atelopus simulatus.tif
1 1 0.102 1 ../lost_rasters/Amphibia_Atelopus siranus.tif
1 1 0.28 1 ../lost_rasters/Amphibia_Atelopus sonsonensis.tif
1 1 0.325 1 ../lost_rasters/Amphibia_Atelopus sorianoi.tif
1 1 0.397 1 ../lost_rasters/Amphibia_Atelopus subornatus.tif
1 1 0.102 1 ../lost_rasters/Amphibia_Atelopus tamaense.tif
1 1 0.32 1 ../lost_rasters/Amphibia_Atelopus zeteki.tif
1 1 0.849 1 ../lost_rasters/Amphibia_Rhinella amabilis.tif
1 1 0.3 1 ../lost_rasters/Amphibia_Nannophryne cophotis.tif
1 1 0.672 1 ../lost_rasters/Amphibia_Sclerophrys danielae.tif
1 1 0.15 1 ../lost_rasters/Amphibia_Incilius fastidiosus.tif
1 1 0.362 1 ../lost_rasters/Amphibia_Peltophryne fluviatica.tif
