id,class,order,family,species,iucn,criteria,population,systems,realm
22679603,Aves,Galliformes,Odontophoridae,Callipepla californica,LC,,Increasing,Terrestrial,Nearctic|Neotropical
22679609,Aves,Galliformes,Odontophoridae,Callipepla gambelii,LC,,Stable,Terrestrial,Nearctic
22679615,Aves,Galliformes,Odontophoridae,Philortyx fasciatus,LC,,Stable,Terrestrial,Neotropical
22679623,Aves,Galliformes,Odontophoridae,Colinus nigrogularis,LC,,Decreasing,Terrestrial,Neotropical
22679630,Aves,Galliformes,Odontophoridae,Odontophorus gujanensis,LC,,Decreasing,Terrestrial,Neotropical
22679635,Aves,Galliformes,Odontophoridae,Odontophorus capueira,LC,,Decreasing,Terrestrial,Neotropical
22679640,Aves,Galliformes,Odontophoridae,Odontophorus melanotis,NT,A2cd+3cd+4cd,Decreasing,Terrestrial,Neotropical
22679645,Aves,Galliformes,Odontophoridae,Odontophorus erythrops,LC,,Decreasing,Terrestrial,Neotropical
22679650,Aves,Galliformes,Odontophoridae,Odontophorus atrifrons,LC,,Decreasing,Terrestrial,Neotropical
22679655,Aves,Galliformes,Odontophoridae,Odontophorus hyperythrus,LC,,Decreasing,Terrestrial,Neotropical
22679663,Aves,Galliformes,Odontophoridae,Odontophorus melanonotus,LC,,Decreasing,Terrestrial,Neotropical
22679668,Aves,Galliformes,Odontophoridae,Odontophorus speciosus,LC,,Decreasing,Terrestrial,Neotropical
22679673,Aves,Galliformes,Odontophoridae,Odontophorus dialeucos,LC,,Stable,Terrestrial,Neotropical
22679678,Aves,Galliformes,Odontophoridae,Odontophorus strophium,VU,C2a(i),Decreasing,Terrestrial,Neotropical
22679683,Aves,Galliformes,Odontophoridae,Odontophorus columbianus,NT,"B1ab(ii,iii)",Decreasing,Terrestrial,Neotropical
22679688,Aves,Galliformes,Odontophoridae,Odontophorus leucolaemus,LC,,Decreasing,Terrestrial,Neotropical
22679693,Aves,Galliformes,Odontophoridae,Odontophorus balliviani,LC,,Decreasing,Terrestrial,Neotropical
22679698,Aves,Galliformes,Odontophoridae,Odontophorus stellatus,LC,,Decreasing,Terrestrial,Neotropical
22679703,Aves,Galliformes,Odontophoridae,Odontophorus guttatus,LC,,Decreasing,Terrestrial,Neotropical
22679708,Aves,Galliformes,Odontophoridae,Dactylortyx thoracicus,LC,,Decreasing,Terrestrial,Neotropical
22679717,Aves,Galliformes,Odontophoridae,Cyrtonyx ocellatus,VU,A2cd,Decreasing,Terrestrial,Neotropical
22679720,Aves,Galliformes,Odontophoridae,Rhynchortyx cinctus,NT,A3cd+4cd,Decreasing,Terrestrial,Neotropical
