id,species,synonyms
67608420,Anolis blanquillanus,Anolis bonairensis
48279715,Anolis boettgeri,Dactyloa boettgeri
44577278,Anolis bombiceps,Norops bombiceps
67608716,Anolis bonairensis,Dactyloa bonairensis
64198,Anolis boulengerianus,Norops isthmicus
64198,Anolis boulengerianus,Anolis isthmicus
75089949,Anolis brasiliensis,Norops brasiliensis
75089949,Anolis brasiliensis,Anolis chrysolepis
64187,Anolis breedlovei,Norops breedlovei
74994572,Anolis bremeri,Norops bremeri
74994592,Anolis breslini,Audantia breslini
74994592,Anolis breslini,Anolis whitemani
74994601,Anolis brevirostris,Ctenonotus brevirostris
74994610,Anolis brunneus,Anolis principalis
44577293,Anolis calimae,Dactyloa calimae
66080067,Anolis callainus,Anolis chloro-cyanus
203081,Anolis campbelli,Norops campbelli
197442,Anolis capito,Norops capito
67609237,Anolis carlostoddi,Dactyloa carlostoddi
67609237,Anolis carlostoddi,Phenacosaurus carlostoddi
64188,Anolis carolinensis,Anolius carolinensis
178725,Anolis carpenteri,Anolis procellaris
178725,Anolis carpenteri,Norops carpenteri
203082,Anolis casildae,Dactyloa casildae
74994619,Anolis caudalis,Ctenonotus caudalis
74994619,Anolis caudalis,Anolis dominicensis
178730,Anolis centralis,Anolis  argillaceus
74994659,Anolis chamaeleonides,Chamaeleolis chamaeleonides
74994659,Anolis chamaeleonides,Xiphosurus chamaeleonides
203084,Anolis chloris,Dactyloa chloris
203084,Anolis chloris,Anolis palmeri
74994702,Anolis chlorocyanus,Deiroptyx coelestina
74994702,Anolis chlorocyanus,Anolis coelestinus
74994671,Anolis christophei,Chamaelinorops christophei
74994671,Anolis christophei,Xiphosurus christophei
74994681,Anolis chrysops,Ctenonotus chrysops
74994681,Anolis chrysops,Anolis marmoratus
177905,Anolis clivicola,Anolis alutaceus
203086,Anolis cobanensis,Norops cobanensis
64189,Anolis compressicauda,Norops compressicauda
44577307,Anolis concolor,Norops concolor
74994719,Anolis confusus,Norops confusus
73024495,Anolis conspersus,Anolis utowanae
73024495,Anolis conspersus,Norops conspersus
73024495,Anolis conspersus,Norops utowanae
74994752,Anolis cooki,Ctenonotus cooki
197453,Anolis crassulus,Norops crassulus
197440,Anolis cristatellus,Anolis cozumelae
177906,Anolis cristifer,Norops cristifer
177906,Anolis cristifer,Anolis pentaprion
74994831,Anolis cupeyalensis,Anolis cyanopleurus
197448,Anolis cupreus,Norops cupreus
64191,Anolis cuprinus,Norops cuprinus
48279732,Anolis cuscoensis,Dactyloa cuscoensis
178272,Anolis cusuco,Norops cusuco
74994846,Anolis cuvieri,Xiphosurus cuvieri
74994846,Anolis cuvieri,Dactyloa cuvieri
74994846,Anolis cuvieri,Ctenonotus cuvieri
74994894,Anolis cybotes,Audantia cybotes
74994894,Anolis cybotes,Anolis riisei
74994894,Anolis cybotes,Anolis haetianus
64192,Anolis cymbops,Norops cymbops
44577320,Anolis danieli,Dactyloa danieli
74994974,Anolis darlingtoni,Deiroptyx darlingtoni
74994974,Anolis darlingtoni,Xiphocercus darlingtoni
203088,Anolis datzorum,Norops datzorum
74994985,Anolis delafuentei,Norops delafuentei
