id_no,species,mean_gHM,median_gHM,source
766,Akodon varius,0.216642764,0.170889497,dd_spp
13429,Alexandromys evoronensis,0.026380001,0.031072827,dd_spp
13447,Alexandromys mujanensis,0.033084146,0.027170773,dd_spp
44579133,Alinea lanceolata,0.772513239,0.794856548,lost_spp
855,Allactaga firouzi,0.295733417,0.271353558,dd_spp
850,Allactaga tetradactyla,0.189277189,0.130828843,dd_spp
91949971,Allobates bacurau,0.074792482,0.056862101,dd_spp
136097,Allobates caribe,0.180526531,0.180369735,lost_spp
55113,Allobates mcdiarmidi,0.162430048,0.15470241,lost_spp
55123,Allobates ornatus,0.686187391,0.702843189,dd_spp
55130,Allobates peruvianus,0.144539135,0.124389313,dd_spp
55141,Allobates ranoides,0.437555045,0.435397834,lost_spp
55147,Allobates sanmartini,0.062699788,0.068927325,dd_spp
195897620,Allobates velocicantus,0.380239973,0.377815753,dd_spp
203063,Alopoglossus eurylepis,0.195370421,0.197037511,lost_spp
29410,Alopoglossus gorgonae,0.186159362,0.187165797,dd_spp
203064,Alopoglossus grandisquamatus,0.26862774,0.249115959,lost_spp
203064,Alopoglossus grandisquamatus,0.26862774,0.249115959,dd_spp
44578120,Alopoglossus lehmanni,0.327115745,0.318554804,lost_spp
29412,Alopoglossus romaleos,0.298151073,0.305825278,dd_spp
141556924,Alsodes australis,0.033567667,0.028969504,dd_spp
45477112,Alsodes coppingeri,0.003873801,0.001610341,dd_spp
56316,Alsodes kaweshkari,0.01559768,0.015293117,dd_spp
45477126,Alsodes monticola,0.001466024,0.001466024,dd_spp
56322,Alsodes vittatus,0.126372766,0.131187424,dd_spp
948,Alticola albicaudus,0.102652934,0.085968025,dd_spp
54886,Altiphrynoides osgoodi,0.519913386,0.542763889,lost_spp
47755348,Altiphylax baturensis,0.194073475,0.156719595,dd_spp
47755379,Altiphylax mintoni,0.566891334,0.556804419,dd_spp
119194112,Amazilia alfaroana,0.254957684,0.219954453,lost_spp
186882160,Amazophrynella gardai,0.221433726,0.185387038,dd_spp
176273,Amblyodipsas teitana,0.311112976,0.295413315,dd_spp
61893,Ambystoma silvense,0.180659109,0.148066476,dd_spp
55224,Ameerega ingeri,0.213416821,0.213701546,dd_spp
50008932,Ameiva pantherina,0.338174368,0.368518963,dd_spp
50010220,Ameivula cyanura,0.174772512,0.124708317,dd_spp
50010605,Ameivula nigrigula,0.120972087,0.092992783,dd_spp
67657437,Amerotyphlops lehneri,0.284980423,0.279706508,dd_spp
1140,Ammodillus imbellis,0.213828649,0.152671143,dd_spp
208372349,Amolops adicola,0.18614966,0.093977947,dd_spp
47006403,Amolops akhaorum,0.143972542,0.131172568,dd_spp
184575705,Amolops archotaphus,0.253942545,0.19879511,dd_spp
76317590,Amolops chayuensis,0.283014255,0.288453415,dd_spp
61870,Amolops iriodes,0.305899743,0.26234138,dd_spp
58214,Amolops kaulbacki,0.076285632,0.072208606,lost_spp
58214,Amolops kaulbacki,0.076285632,0.072208606,dd_spp
202879,Amolops kohimaensis,0.446976911,0.428124711,dd_spp
