"rank" "mean.1" "weighted_mean.1" "min.1" "mean.2" "weighted_mean.2" "min.2" "mean.3" "weighted_mean.3" "min.3" "mean.4" "weighted_mean.4" "min.4" 
0.00462 1.0000 1.0000 1.0000 0.9998 1.0000 0.9154 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00471 1.0000 1.0000 1.0000 0.9998 1.0000 0.9136 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00481 1.0000 1.0000 1.0000 0.9998 1.0000 0.9118 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00491 1.0000 1.0000 1.0000 0.9998 1.0000 0.9100 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00501 1.0000 1.0000 1.0000 0.9998 1.0000 0.9082 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00511 1.0000 1.0000 1.0000 0.9998 1.0000 0.9064 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00520 1.0000 1.0000 1.0000 0.9998 1.0000 0.9046 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00530 1.0000 1.0000 1.0000 0.9998 1.0000 0.9028 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00540 1.0000 1.0000 1.0000 0.9998 1.0000 0.9010 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00550 1.0000 1.0000 1.0000 0.9998 1.0000 0.8992 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00560 1.0000 1.0000 1.0000 0.9997 1.0000 0.8974 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00570 1.0000 1.0000 1.0000 0.9997 1.0000 0.8956 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00579 1.0000 1.0000 1.0000 0.9997 1.0000 0.8938 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00589 1.0000 1.0000 1.0000 0.9997 1.0000 0.8920 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00599 1.0000 1.0000 1.0000 0.9997 1.0000 0.8902 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00609 1.0000 1.0000 1.0000 0.9997 1.0000 0.8884 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00619 1.0000 1.0000 1.0000 0.9997 1.0000 0.8866 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00628 1.0000 1.0000 1.0000 0.9997 1.0000 0.8848 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00638 1.0000 1.0000 1.0000 0.9997 1.0000 0.8830 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00648 1.0000 1.0000 1.0000 0.9997 0.9999 0.8812 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00658 1.0000 1.0000 1.0000 0.9997 0.9999 0.8794 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00668 1.0000 1.0000 1.0000 0.9997 0.9999 0.8776 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00678 1.0000 1.0000 1.0000 0.9997 0.9999 0.8758 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
