"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00648 485633 0.0 0.9998 1.0000 0.8812 0.9998 1.0000 1.0000 0.8812
0.00658 485585 0.0 0.9998 1.0000 0.8794 0.9998 1.0000 1.0000 0.8794
0.00668 485537 0.0 0.9998 1.0000 0.8776 0.9998 1.0000 1.0000 0.8776
0.00678 485489 0.0 0.9998 1.0000 0.8758 0.9998 1.0000 1.0000 0.8758
0.00687 485441 0.0 0.9998 1.0000 0.8740 0.9998 1.0000 1.0000 0.8740
0.00697 485393 0.0 0.9998 1.0000 0.8722 0.9998 1.0000 1.0000 0.8722
0.00707 485345 0.0 0.9998 1.0000 0.8704 0.9998 1.0000 1.0000 0.8704
0.00717 485297 0.0 0.9998 1.0000 0.8686 0.9998 1.0000 1.0000 0.8686
0.00727 485249 0.0 0.9998 1.0000 0.8668 0.9998 1.0000 1.0000 0.8668
0.00736 485201 0.0 0.9998 1.0000 0.8650 0.9998 1.0000 1.0000 0.8650
0.00746 485153 0.0 0.9998 1.0000 0.8632 0.9998 1.0000 1.0000 0.8632
0.00756 485105 0.0 0.9998 1.0000 0.8614 0.9998 1.0000 1.0000 0.8614
0.00766 485057 0.0 0.9998 1.0000 0.8596 0.9998 1.0000 1.0000 0.8596
0.00776 485009 0.0 0.9998 1.0000 0.8578 0.9998 1.0000 1.0000 0.8578
0.00786 484961 0.0 0.9998 1.0000 0.8560 0.9998 1.0000 1.0000 0.8560
0.00795 484913 0.0 0.9998 1.0000 0.8542 0.9998 1.0000 1.0000 0.8542
0.00805 484865 0.0 0.9998 1.0000 0.8524 0.9998 1.0000 1.0000 0.8524
0.00815 484817 0.0 0.9998 1.0000 0.8506 0.9998 1.0000 1.0000 0.8506
0.00825 484769 0.0 0.9998 1.0000 0.8488 0.9998 1.0000 1.0000 0.8488
0.00835 484721 0.0 0.9998 1.0000 0.8470 0.9998 1.0000 1.0000 0.8470
0.00845 484673 0.0 0.9998 1.0000 0.8452 0.9998 1.0000 1.0000 0.8452
0.00854 484625 0.0 0.9998 1.0000 0.8434 0.9998 1.0000 1.0000 0.8434
0.00864 484577 0.0 0.9998 1.0000 0.8416 0.9998 1.0000 1.0000 0.8416
0.00874 484529 0.0 0.9998 1.0000 0.8398 0.9998 1.0000 1.0000 0.8398
0.00884 484481 0.0 0.9998 1.0000 0.8380 0.9998 1.0000 1.0000 0.8380
0.00894 484433 0.0 0.9998 1.0000 0.8362 0.9998 1.0000 1.0000 0.8362
0.00903 484385 0.0 0.9998 1.0000 0.8344 0.9998 1.0000 1.0000 0.8344
0.00913 484337 0.0 0.9998 1.0000 0.8326 0.9998 1.0000 1.0000 0.8326
0.00923 484289 0.0 0.9998 1.0000 0.8308 0.9998 1.0000 1.0000 0.8308
0.00933 484241 0.0 0.9998 1.0000 0.8290 0.9998 1.0000 1.0000 0.8290
0.00943 484193 0.0 0.9998 1.0000 0.8272 0.9998 1.0000 1.0000 0.8272
0.00953 484145 0.0 0.9998 1.0000 0.8254 0.9998 1.0000 1.0000 0.8254
0.00962 484097 0.0 0.9998 1.0000 0.8236 0.9998 1.0000 1.0000 0.8236
0.00972 484049 0.0 0.9998 1.0000 0.8218 0.9998 1.0000 1.0000 0.8218
0.00982 484001 0.0 0.9998 1.0000 0.8200 0.9998 1.0000 1.0000 0.8200
0.00992 483953 0.0 0.9998 1.0000 0.8182 0.9998 1.0000 1.0000 0.8182
0.01002 483905 0.0 0.9998 1.0000 0.8164 0.9998 1.0000 1.0000 0.8164
0.01011 483857 0.0 0.9998 1.0000 0.8146 0.9998 1.0000 1.0000 0.8146
0.01021 483809 0.0 0.9998 1.0000 0.8128 0.9998 1.0000 1.0000 0.8128
0.01031 483761 0.0 0.9998 1.0000 0.8110 0.9998 1.0000 1.0000 0.8110
0.01041 483713 0.0 0.9998 1.0000 0.8092 0.9998 1.0000 1.0000 0.8092
0.01051 483665 0.0 0.9998 1.0000 0.8074 0.9998 1.0000 1.0000 0.8074
0.01061 483617 0.0 0.9998 1.0000 0.8056 0.9998 1.0000 1.0000 0.8056
0.01070 483569 0.0 0.9997 1.0000 0.8038 0.9997 1.0000 1.0000 0.8038
0.01080 483521 0.0 0.9997 1.0000 0.8020 0.9997 1.0000 1.0000 0.8020
0.01090 483473 0.0 0.9997 1.0000 0.8002 0.9997 1.0000 1.0000 0.8002
0.01100 483425 0.0 0.9997 1.0000 0.7984 0.9997 1.0000 1.0000 0.7984
0.01110 483377 0.0 0.9997 1.0000 0.7966 0.9997 1.0000 1.0000 0.7966
0.01119 483329 0.0 0.9997 1.0000 0.7948 0.9997 1.0000 1.0000 0.7948
0.01129 483281 0.0 0.9997 1.0000 0.7930 0.9997 1.0000 1.0000 0.7930
0.01139 483233 0.0 0.9997 1.0000 0.7912 0.9997 1.0000 1.0000 0.7912
0.01149 483185 0.0 0.9997 1.0000 0.7894 0.9997 1.0000 1.0000 0.7894
0.01159 483137 0.0 0.9997 1.0000 0.7876 0.9997 1.0000 1.0000 0.7876
0.01169 483089 0.0 0.9997 1.0000 0.7858 0.9997 1.0000 1.0000 0.7858
0.01178 483041 0.0 0.9997 1.0000 0.7840 0.9997 1.0000 1.0000 0.7840
0.01188 482993 0.0 0.9997 1.0000 0.7822 0.9997 1.0000 1.0000 0.7822
0.01198 482945 0.0 0.9997 1.0000 0.7804 0.9997 1.0000 1.0000 0.7804
0.01208 482897 0.0 0.9997 1.0000 0.7786 0.9997 1.0000 1.0000 0.7786
0.01218 482849 0.0 0.9997 1.0000 0.7768 0.9997 1.0000 1.0000 0.7768
0.01227 482801 0.0 0.9997 1.0000 0.7750 0.9997 1.0000 1.0000 0.7750
0.01237 482753 0.0 0.9997 1.0000 0.7732 0.9997 1.0000 1.0000 0.7732
0.01247 482705 0.0 0.9997 1.0000 0.7714 0.9997 1.0000 1.0000 0.7714
0.01257 482657 0.0 0.9997 1.0000 0.7696 0.9997 1.0000 1.0000 0.7696
0.01267 482609 0.0 0.9997 1.0000 0.7678 0.9997 1.0000 1.0000 0.7678
0.01277 482561 0.0 0.9997 1.0000 0.7660 0.9997 1.0000 1.0000 0.7660
0.01286 482513 0.0 0.9997 1.0000 0.7642 0.9997 1.0000 1.0000 0.7642
0.01296 482465 0.0 0.9997 1.0000 0.7624 0.9997 1.0000 1.0000 0.7624
0.01306 482417 0.0 0.9997 1.0000 0.7606 0.9997 1.0000 1.0000 0.7606
0.01316 482369 0.0 0.9997 1.0000 0.7588 0.9997 1.0000 1.0000 0.7588
0.01326 482321 0.0 0.9997 1.0000 0.7570 0.9997 1.0000 1.0000 0.7570
0.01336 482273 0.0 0.9997 1.0000 0.7552 0.9997 1.0000 1.0000 0.7552
0.01345 482225 0.0 0.9997 1.0000 0.7534 0.9997 1.0000 1.0000 0.7534
0.01355 482177 0.0 0.9997 1.0000 0.7516 0.9997 1.0000 1.0000 0.7516
0.01365 482129 0.0 0.9997 1.0000 0.7498 0.9997 1.0000 1.0000 0.7498
0.01375 482081 0.0 0.9997 1.0000 0.7480 0.9997 1.0000 1.0000 0.7480
0.01385 482033 0.0 0.9997 1.0000 0.7462 0.9997 1.0000 1.0000 0.7462
0.01394 481985 0.0 0.9997 1.0000 0.7444 0.9997 1.0000 1.0000 0.7444
