"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.02072 0.0243 0.0018
0.02082 0.0231 0.0024
0.02092 0.0237 0.0018
0.02101 0.0231 0.0018
0.02111 0.0237 0.0018
0.02121 0.0231 0.0018
0.02131 0.0237 0.0024
0.02141 0.0231 0.0018
0.02151 0.0237 0.0018
0.02160 0.0231 0.0018
0.02170 0.0237 0.0018
0.02180 0.0231 0.0024
0.02190 0.0243 0.0018
0.02200 0.0231 0.0018
0.02209 0.0237 0.0018
0.02219 0.0231 0.0018
0.02229 0.0237 0.0024
0.02239 0.0231 0.0018
0.02249 0.0237 0.0018
0.02259 0.0231 0.0018
0.02268 0.0237 0.0018
0.02278 0.0231 0.0024
0.02288 0.0231 0.0018
0.02298 0.0237 0.0018
0.02308 0.0243 0.0018
0.02318 0.0231 0.0018
0.02327 0.0225 0.0024
0.02337 0.0243 0.0018
0.02347 0.0237 0.0018
0.02357 0.0231 0.0018
0.02367 0.0231 0.0018
0.02376 0.0237 0.0024
0.02386 0.0237 0.0018
0.02396 0.0231 0.0018
0.02406 0.0231 0.0018
0.02416 0.0237 0.0018
0.02426 0.0243 0.0024
0.02435 0.0225 0.0018
0.02445 0.0231 0.0018
0.02455 0.0243 0.0018
0.02465 0.0237 0.0018
0.02475 0.0231 0.0024
0.02484 0.0231 0.0018
0.02494 0.0237 0.0018
0.02504 0.0237 0.0018
0.02514 0.0231 0.0018
0.02524 0.0231 0.0024
0.02534 0.0237 0.0018
0.02543 0.0243 0.0018
0.02553 0.0225 0.0018
0.02563 0.0231 0.0018
0.02573 0.0243 0.0024
0.02583 0.0237 0.0018
0.02592 0.0231 0.0018
0.02602 0.0231 0.0018
0.02612 0.0237 0.0018
0.02622 0.0237 0.0024
0.02632 0.0231 0.0018
0.02642 0.0231 0.0018
0.02651 0.0237 0.0018
0.02661 0.0237 0.0018
0.02671 0.0231 0.0024
0.02681 0.0231 0.0018
0.02691 0.0243 0.0018
0.02700 0.0237 0.0018
0.02710 0.0231 0.0018
0.02720 0.0231 0.0024
0.02730 0.0237 0.0018
0.02740 0.0237 0.0018
0.02750 0.0231 0.0018
