"number" "dsum" "count" "missing" "quant_error" "fname"
41 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Andinosaura_stellae.tif"
42 1.0 1 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anilios_insperatus.tif"
43 9937.0 9937 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Anodorhynchus_glaucus.tif"
44 30.0 30 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_altitudinalis.tif"
45 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_carlostoddi.tif"
46 14.0 14 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_incredulus.tif"
47 11.0 11 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_juangundlachi.tif"
48 29.0 29 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_laevis.tif"
49 33.0 33 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_lamari.tif"
50 12.0 12 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_oporinus.tif"
51 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_paravertebralis.tif"
52 44.0 44 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_roosevelti.tif"
53 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_singularis.tif"
54 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Reptilia_Anolis_vicarius.tif"
55 2.0 2 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Anomaloglossus_degranvillei.tif"
56 157.0 157 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Ansonia_siamensis.tif"
57 19.0 19 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Aplastodiscus_musicus.tif"
58 11.0 11 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Aves_Aplonis_pelzelni.tif"
59 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Aquiloeurycea_praecellens.tif"
60 22.0 22 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Aromobates_alboguttatus.tif"
61 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Aromobates_haydeeae.tif"
62 8.0 8 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Aromobates_leopardalis.tif"
63 2.0 2 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Aromobates_molinarii.tif"
64 4.0 4 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Aromobates_nocturnus.tif"
65 10.0 10 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Aromobates_serranus.tif"
66 57.0 57 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Arthroleptides_dutoiti.tif"
67 2.0 2 28982239 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Arthroleptis_kutogundua.tif"
