group weight wgrp filename
4 0.139 4 ../dd_rasters/Mammalia_Dendromus_vernayi.tif
4 0.819 4 ../dd_rasters/Mammalia_Dendroprionomys_rousseloti.tif
2 0.011 2 ../dd_rasters/Reptilia_Denisonia_maculata.tif
4 0.018 4 ../dd_rasters/Mammalia_Diclidurus_ingens.tif
4 0.002 4 ../dd_rasters/Mammalia_Dicrostonyx_vinogradovi.tif
4 0.227 4 ../dd_rasters/Mammalia_Diomys_crumpi.tif
4 0.637 4 ../dd_rasters/Mammalia_Diplomys_caniceps.tif
4 0.237 4 ../dd_rasters/Mammalia_Dryomys_laniger.tif
4 0.111 4 ../dd_rasters/Mammalia_Chaetocauda_sichuanensis.tif
4 0.225 4 ../dd_rasters/Mammalia_Phyllomys_lamarum.tif
4 0.027 4 ../dd_rasters/Mammalia_Echimys_saturnus.tif
4 0.045 4 ../dd_rasters/Mammalia_Echymipera_echinista.tif
4 0.16 4 ../dd_rasters/Mammalia_Elephantulus_revoilii.tif
4 0.155 4 ../dd_rasters/Mammalia_Ellobius_alaicus.tif
4 0.294 4 ../dd_rasters/Mammalia_Eothenomys_proditor.tif
4 0.194 4 ../dd_rasters/Mammalia_Epomophorus_grandis.tif
4 0.058 4 ../dd_rasters/Mammalia_Eptesicus_bobrinskoi.tif
4 0.337 4 ../dd_rasters/Mammalia_Eptesicus_dimissus.tif
4 0.722 4 ../dd_rasters/Mammalia_Eptesicus_kobayashii.tif
4 0.569 4 ../dd_rasters/Mammalia_Eptesicus_platyops.tif
4 0.474 4 ../dd_rasters/Mammalia_Eptesicus_tatei.tif
4 0.035 4 ../dd_rasters/Mammalia_Eumops_maurus.tif
4 0.078 4 ../dd_rasters/Mammalia_Euneomys_chinchilloides.tif
4 0.227 4 ../dd_rasters/Mammalia_Euroscaptor_parvidens.tif
4 0.125 4 ../dd_rasters/Mammalia_Exilisciurus_exilis.tif
4 0.125 4 ../dd_rasters/Mammalia_Funisciurus_bayonii.tif
4 0.267 4 ../dd_rasters/Mammalia_Funisciurus_substriatus.tif
2 0.033 2 ../dd_rasters/Reptilia_Furina_dunmalli.tif
