"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.05995 0.0223 0.0096
0.06005 0.0223 0.0108
0.06015 0.0205 0.0102
0.06025 0.0217 0.0096
0.06035 0.0223 0.0096
0.06045 0.0211 0.0108
0.06055 0.0223 0.0108
0.06065 0.0211 0.0096
0.06075 0.0223 0.0102
0.06085 0.0217 0.0108
0.06094 0.0217 0.0096
0.06104 0.0211 0.0096
0.06114 0.0223 0.0102
0.06124 0.0217 0.0108
0.06134 0.0211 0.0096
0.06144 0.0217 0.0108
0.06154 0.0217 0.0096
0.06164 0.0217 0.0102
0.06174 0.0217 0.0096
0.06184 0.0217 0.0096
0.06194 0.0217 0.0114
0.06203 0.0217 0.0096
0.06213 0.0211 0.0096
0.06223 0.0217 0.0108
0.06233 0.0223 0.0096
0.06243 0.0223 0.0108
0.06253 0.0211 0.0096
0.06263 0.0211 0.0114
0.06273 0.0223 0.0096
0.06283 0.0223 0.0096
0.06293 0.0211 0.0102
0.06303 0.0211 0.0096
0.06312 0.0223 0.0108
0.06322 0.0217 0.0096
0.06332 0.0217 0.0108
0.06342 0.0217 0.0102
0.06352 0.0217 0.0096
0.06362 0.0217 0.0096
0.06372 0.0217 0.0108
0.06382 0.0211 0.0096
0.06392 0.0223 0.0102
0.06402 0.0217 0.0108
0.06412 0.0211 0.0108
0.06421 0.0217 0.0096
0.06431 0.0217 0.0096
0.06441 0.0223 0.0102
0.06451 0.0223 0.0096
0.06461 0.0204 0.0108
0.06471 0.0217 0.0096
0.06481 0.0223 0.0102
0.06491 0.0211 0.0108
0.06501 0.0223 0.0096
0.06511 0.0211 0.0096
0.06521 0.0223 0.0108
0.06530 0.0217 0.0102
0.06540 0.0205 0.0096
0.06550 0.0223 0.0096
0.06560 0.0223 0.0114
0.06570 0.0211 0.0096
0.06580 0.0211 0.0096
0.06590 0.0223 0.0108
0.06600 0.0217 0.0108
0.06610 0.0223 0.0096
0.06620 0.0211 0.0096
0.06630 0.0217 0.0102
0.06640 0.0217 0.0108
0.06649 0.0223 0.0096
0.06659 0.0211 0.0102
0.06669 0.0217 0.0096
0.06679 0.0217 0.0108
0.06689 0.0211 0.0096
0.06699 0.0217 0.0096
0.06709 0.0217 0.0114
0.06719 0.0223 0.0096
0.06729 0.0211 0.0108
0.06739 0.0217 0.0096
0.06749 0.0217 0.0102
0.06758 0.0223 0.0096
0.06768 0.0217 0.0096
0.06778 0.0217 0.0120
0.06788 0.0211 0.0096
0.06798 0.0223 0.0096
0.06808 0.0217 0.0102
0.06818 0.0217 0.0096
0.06828 0.0211 0.0108
0.06838 0.0223 0.0096
0.06848 0.0211 0.0096
0.06858 0.0211 0.0114
0.06867 0.0223 0.0096
0.06877 0.0217 0.0108
0.06887 0.0217 0.0096
0.06897 0.0211 0.0102
0.06907 0.0223 0.0096
0.06917 0.0217 0.0108
0.06927 0.0223 0.0102
0.06937 0.0211 0.0096
0.06947 0.0217 0.0096
0.06957 0.0217 0.0108
0.06967 0.0223 0.0108
0.06976 0.0211 0.0096
0.06986 0.0211 0.0096
0.06996 0.0223 0.0114
0.07006 0.0223 0.0096
0.07016 0.0211 0.0096
0.07026 0.0223 0.0096
0.07036 0.0211 0.0114
0.07046 0.0217 0.0096
0.07056 0.0217 0.0096
0.07066 0.0211 0.0108
0.07076 0.0223 0.0102
0.07085 0.0217 0.0096
0.07095 0.0217 0.0096
0.07105 0.0211 0.0114
0.07115 0.0223 0.0096
0.07125 0.0217 0.0096
0.07135 0.0211 0.0096
0.07145 0.0217 0.0120
0.07155 0.0217 0.0096
0.07165 0.0217 0.0096
0.07175 0.0217 0.0096
0.07185 0.0223 0.0114
0.07194 0.0211 0.0096
0.07204 0.0223 0.0096
0.07214 0.0211 0.0114
0.07224 0.0217 0.0096
0.07234 0.0217 0.0096
0.07244 0.0223 0.0096
0.07254 0.0211 0.0114
0.07264 0.0211 0.0096
0.07274 0.0223 0.0096
0.07284 0.0223 0.0108
0.07294 0.0211 0.0102
0.07303 0.0211 0.0096
0.07313 0.0223 0.0096
0.07323 0.0217 0.0120
0.07333 0.0217 0.0096
0.07343 0.0217 0.0096
0.07353 0.0217 0.0102
0.07363 0.0217 0.0096
0.07373 0.0217 0.0108
0.07383 0.0211 0.0096
0.07393 0.0223 0.0114
0.07403 0.0217 0.0096
0.07412 0.0211 0.0096
0.07422 0.0217 0.0108
0.07432 0.0217 0.0096
0.07442 0.0223 0.0102
0.07452 0.0211 0.0096
0.07462 0.0217 0.0096
0.07472 0.0217 0.0114
0.07482 0.0223 0.0096
0.07492 0.0211 0.0096
0.07502 0.0223 0.0108
0.07512 0.0211 0.0108
0.07521 0.0223 0.0096
0.07531 0.0217 0.0096
0.07541 0.0204 0.0114
0.07551 0.0223 0.0096
0.07561 0.0223 0.0096
0.07571 0.0211 0.0102
0.07581 0.0223 0.0108
0.07591 0.0211 0.0096
0.07601 0.0217 0.0096
0.07611 0.0223 0.0108
0.07621 0.0211 0.0102
0.07630 0.0217 0.0096
0.07640 0.0217 0.0096
0.07650 0.0223 0.0108
0.07660 0.0211 0.0102
0.07670 0.0217 0.0096
0.07680 0.0217 0.0096
0.07690 0.0211 0.0120
